SNPs	indels	DEL	DUP
3552056	632873	83	56
3274003	513524	82	61
3429586	573052	78	79
3330623	537562	86	60
3258251	518402	85	61
3444796	587174	71	70
3436694	574953	87	61
3360262	553805	85	67
3621502	675451	86	49
3473559	618414	86	66
3065116	476514	80	62
3277731	522045	88	58
3509530	605196	78	49
3573553	628845	80	67
3587982	660867	99	55
3047179	438641	78	67
3369238	536141	91	61
3727958	712713	96	44
3440419	587169	82	66
3687626	708233	69	76
3484464	613551	80	76
3526464	609561	86	75
3506078	585753	91	66
3500506	605171	102	54
3655349	679039	77	59
3552259	629900	88	61
3600533	660071	84	59
3195376	487056	71	68
3671891	687343	79	59
3519554	614974	94	54
3556270	621114	74	54
3573403	642362	93	48
3476888	593931	73	54
3453844	573281	84	58
3665796	682482	82	56
3027066	441658	85	63
3208451	495755	93	61
3549632	633711	85	62
3307837	526824	77	57
3035868	442504	93	60
3139748	480733	88	56
3237471	492379	75	57
3313802	544527	93	51
3281745	529282	75	68
3460323	590283	86	56
3270827	521424	78	63
3738012	717513	87	53
3267239	520532	81	44
3492242	612628	101	47
3873289	807248	86	58
3818221	777385	88	42
3401535	570567	74	71
3798853	768007	93	69
3864645	790059	102	47
3776370	769401	81	76
3768478	735481	78	42
3818996	784251	79	62
3902654	841245	74	45
2985483	407878	86	72
3722662	733497	99	54
3704425	712057	90	47
3918766	830984	90	58
3598625	671173	97	53
3369676	565323	71	53
3667972	686023	81	66
3747588	742914	87	57
3237892	510280	78	47
3101789	457834	93	56
3561264	634051	98	54
3862427	834672	90	53
3859858	787842	92	44
3722669	730268	91	45
3856461	808922	91	90
3840296	789696	93	40
3829122	796351	88	39
3737087	724673	82	65
3897822	807302	76	54
3874968	822437	88	43
3863891	827294	84	66
3897408	839730	97	57
3506542	608044	91	43
3506596	611044	87	54
3618610	671088	86	72
3717378	705849	79	40
3515903	617080	92	46
3811136	773686	85	62
3571961	647901	90	57
3939893	849881	103	39
3701137	712079	70	66
3705325	718417	106	44
3740705	748578	99	46
3644065	672907	83	53
3566770	649138	91	69
3732194	764762	67	63
3776653	771856	74	63
3706108	711656	102	41
3593363	662305	84	51
3651658	686815	88	48
3348388	566174	80	58
3829302	782364	83	41
3535825	621669	73	64
3779265	748869	78	67
3746982	735896	87	41
3813526	784817	85	50
3591904	670356	85	47
3479576	613943	89	60
3758160	758236	91	56
3062422	444937	81	69
3288438	521267	85	48
3666722	705429	102	44
3820465	802110	95	47
3874252	803776	103	53
3386810	568920	96	70
3835333	791512	85	51
2915666	414302	93	57
3854023	802373	95	46
3592079	643749	92	43
3397584	570528	79	48
2927863	415321	87	57
3505548	622908	77	67
3514903	629111	88	55
3726036	708625	83	49
3819375	763777	90	47
3244180	505835	97	54
3687361	702415	87	55
3719084	743345	100	49
3803062	775188	76	71
3773188	743857	88	48
3749530	779941	76	50
3782840	758555	89	42
3780545	770188	91	53
3481470	597218	91	50
3809079	806270	88	57
3463401	581065	77	44
3216580	490898	92	48
3649504	679018	89	49
3764024	753575	91	71
3434665	645003	96	37
3846337	795597	87	42
3561280	632645	105	52
3148570	480055	82	70
3617820	685732	93	50
3712790	713803	85	40
3205605	493469	91	44
3593067	658379	71	79
3819261	767090	70	74
3326548	552739	78	62
3733575	729380	78	62
3381718	581969	80	59
4020258	849261	104	63
3521223	626877	84	59
3755675	739828	98	51
3655293	695293	89	55
3734345	740435	84	65
3891875	831906	83	57
3870264	833289	82	46
3400788	568132	74	55
3776349	755863	81	56
3789740	769749	93	49
3413703	605949	86	59
3484081	593650	94	66
3905481	847201	81	56
3842401	793278	80	59
3203348	494406	90	55
3834831	820472	82	51
3736463	751925	86	52
3463159	631702	97	59
3814132	781269	90	40
3677482	709695	93	40
3694804	715070	92	51
3235450	498896	86	71
3676076	697528	83	56
3693578	717591	82	49
3386713	558776	83	53
3641050	692503	86	68
3689312	721967	83	46
3812784	744649	100	53
3740140	769652	100	37
3552699	622539	82	58
3551906	623748	85	66
3654806	695473	106	44
3275862	517759	84	79
3824185	776737	86	60
3775529	767358	83	48
3733821	719243	72	57
3877974	796098	97	47
3784126	761511	94	46
3805138	779498	77	58
3654798	693465	99	46
3864951	815214	100	57
3831107	799207	74	73
3537088	637334	84	57
3493234	615749	82	51
3308685	543466	78	61
3574907	729904	78	73
3694840	706059	80	59
3496463	662843	76	50
3677226	707105	86	67
3611042	691378	84	62
3914123	840845	83	67
3672983	691493	80	55
3680349	758432	89	47
3661505	719547	88	39
3158372	476857	76	66
3482424	613428	93	55
3332423	546555	84	56
3105032	465791	72	66
3680676	697061	76	62
3635024	744755	82	44
3688631	712367	88	46
3269757	514969	73	47
3640632	693654	93	55
3390837	568907	93	49
3493987	656631	79	45
3564023	639248	84	50
3791604	770144	79	50
3377013	552936	74	49
3696445	706588	64	58
3416768	583584	70	63
3371196	562977	86	63
3868278	798818	79	58
3498585	612385	67	79
3544885	703858	95	56
3441919	589154	65	81
3550169	646674	75	46
3662065	692623	90	57
3618121	675282	74	62
3565598	643161	73	56
3457557	607058	72	71
3594966	722021	82	44
3777383	767927	67	68
3452781	585086	81	53
3720895	782417	91	40
3367080	563647	82	61
3738139	738347	87	55
3821743	794325	83	51
3761526	736233	74	55
3826080	780189	79	59
3754421	753934	74	56
3604861	639027	84	46
3502404	594550	74	59
3711932	736047	81	50
3777463	765697	66	72
3792153	753899	93	55
3354142	548600	82	49
3663619	684257	82	55
3474844	602322	78	65
3732448	745798	89	44
3709818	722055	90	56
3675261	695362	78	51
3696860	714278	88	61
3471817	591804	100	46
3616195	678578	75	66
3725186	719591	95	51
3274337	509319	79	66
3357417	549565	77	44
3832663	779546	99	41
3261512	500368	88	67
3562401	667055	78	52
3578132	671811	80	60
3743675	731231	78	48
3874833	815740	81	50
3829303	797600	90	49
3147130	477136	82	56
3778439	793435	88	51
3597016	666997	87	56
3753493	738175	95	38
3636982	739571	70	57
3362076	556880	74	46
4028064	913811	88	61
3515048	634886	71	63
3364380	547915	84	59
3731518	735793	88	48
3706261	717186	76	49
3685101	686952	95	49
3654966	704313	84	60
3247378	496419	74	54
3769030	772278	93	55
3573010	670649	84	64
3507620	666471	94	43
3761368	764086	85	57
3580648	659644	71	61
3740248	814105	93	53
3341230	535194	80	57
3905453	855648	102	50
3730117	737254	80	69
3219156	501658	67	50
3440041	599952	94	61
3553159	646355	75	48
3612058	678154	91	52
3721892	732020	82	55
3631836	674033	82	50
3416133	571028	97	52
3637244	684159	92	55
3690373	715170	95	66
3678284	716971	104	50
3563416	662039	91	41
3449772	586568	77	65
3606844	658135	80	51
3559453	638333	79	61
3578055	645945	90	39
3944478	877077	82	39
3675074	696249	88	54
3351078	540035	81	58
3609705	669520	75	47
3665705	680196	86	55
3579320	661370	97	55
3731600	728209	88	62
3425994	577274	75	55
3431526	590600	83	57
3821770	792760	89	45
3703588	716064	88	53
3663588	702505	87	70
3855480	812392	93	46
3617867	704390	99	41
3441050	596439	80	67
3683001	709420	85	48
3602439	667901	85	46
3864600	820394	81	64
3713154	708955	95	49
3342443	541121	83	51
3560047	644760	88	45
3557493	627068	96	55
3655865	687892	70	52
3766351	769827	86	51
3699960	726624	83	41
3376069	555210	90	42
3446540	591353	81	55
3709587	740031	94	53
3669979	677893	83	53
3769343	769999	78	64
3717901	744291	95	56
3745141	738766	93	58
3628259	678864	100	50
3667300	680278	92	51
3620322	681116	82	63
3793615	765545	92	49
3612538	720874	86	49
3334121	532390	82	61
3707319	725096	91	50
3606306	648233	76	54
3646713	681588	86	44
3589191	654450	79	50
3678138	761648	94	43
3517513	612748	74	45
3886259	834947	102	48
3636800	670506	90	51
3796680	756013	87	46
3668756	720648	90	48
3731300	745154	81	47
3847169	817316	80	67
3612073	658914	96	40
3769955	751406	90	43
3589197	654111	80	50
3437660	646066	97	44
3881348	816464	84	54
3707411	798005	90	58
3668325	702127	76	46
3739549	738256	84	66
3744868	719550	87	51
3482443	609906	79	61
3574460	695785	88	45
3716641	717590	82	66
3666530	697658	98	41
3680371	698861	88	53
3723830	715352	88	53
3628632	670262	100	44
3756061	740593	80	52
3463632	650434	82	54
3696533	690264	93	49
3730321	750985	102	49
3495206	663305	89	55
3513068	625560	77	56
3509944	661803	82	55
3669525	710266	81	66
3803152	763377	84	45
3550440	641278	82	57
3491926	612723	77	43
3571873	631477	84	52
3675911	698037	84	45
3621037	654729	76	44
3616272	666551	69	59
3691299	719774	82	37
3610021	672645	84	64
3734592	747299	89	44
3406234	566051	78	76
3381884	585279	83	52
3654299	694491	87	70
3794296	789949	89	40
3485987	608491	71	73
3474352	602724	79	79
3896055	827158	92	52
3574316	656924	87	51
3759936	766145	92	57
3637017	690864	81	47
3731053	719329	92	40
3797276	779092	82	65
3547834	632836	80	58
3381076	572213	87	58
