IBD1Seg	IBD2Seg	InfType
0.9039	0.0016	PO
0.9072	0.0013	PO
0.9045	0	PO
0.8945	0	2nd
0.9016	0.0011	PO
0.4153	0	2nd
0.895	0.0074	PO
0.5126	0.0016	2nd
0.3801	0.2519	FS
0.8905	0	2nd
0.8531	0	2nd
0.4349	0.0015	2nd
0.2761	0	3rd
0.872	0.0073	2nd
0.398	0.0731	2nd
0.7893	0.0013	2nd
0.7612	0	2nd
0.3679	0.1655	FS
0.5779	0.0916	FS
0.4227	0	2nd
0.3536	0.2468	FS
0.4195	0.2096	FS
0.8897	0	2nd
0.8748	0	2nd
0.8997	0	2nd
0.2485	0	3rd
0.4783	0.0877	2nd
0.3609	0	2nd
0.2951	0	3rd
0.4963	0.1278	FS
0.8033	0	2nd
0.4102	0	2nd
0.3361	0	3rd
0.4899	0	2nd
0.8856	0	2nd
0.404	0.2766	FS
0.8979	0	2nd
0.4368	0.0012	2nd
0.8432	0.0039	2nd
0.8309	0.0017	2nd
0.5637	0	2nd
0.8193	0	2nd
0.4593	0	2nd
0.8903	0	2nd
0.832	0.0026	2nd
0.9059	0.0013	PO
0.8273	0	2nd
0.8952	0	2nd
0.8683	0	2nd
0.9081	0	PO
0.4496	0.2589	FS
0.8503	0	2nd
0.8938	0.0011	2nd
0.9033	0	PO
0.902	0	PO
0.4041	0.2616	FS
0.2121	0	3rd
0.8232	0	2nd
0.4359	0	2nd
0.4516	0.2183	FS
0.4816	0	2nd
0.5601	0.0022	2nd
0.3754	0	2nd
0.4255	0.0013	2nd
0.8972	0	2nd
0.8672	0.0025	2nd
0.6758	0	2nd
0.4578	0.1064	2nd
0.499	0.0011	2nd
0.8809	0.0024	2nd
0.8796	0	2nd
0.8524	0	2nd
0.4343	0	2nd
0.9044	0.0014	PO
0.9045	0	PO
0.9129	0	PO
0.8457	0	2nd
0.7449	0.0023	2nd
0.9021	0	PO
0.5075	0.1568	FS
0.3855	0.0087	2nd
0.2717	0	3rd
0.8599	0	2nd
0.9216	0	PO
0.4189	0.104	2nd
0.3446	0	3rd
0.3007	0	3rd
0.3431	0	3rd
0.909	0.0012	PO
0.8943	0	2nd
0.8839	0.0032	2nd
0.8744	0.0034	2nd
0.7964	0	2nd
0.8848	0	2nd
0.4982	0	2nd
0.4787	0	2nd
0.1892	0	3rd
0.4863	0.2647	FS
0.8804	0.0012	2nd
0.2378	0	3rd
0.4872	0.2789	FS
0.9033	0	PO
0.3346	0	3rd
0.9049	0.002	PO
0.9255	0.0024	PO
0.857	0.002	2nd
0.4298	0	2nd
0.9049	0.0018	PO
0.5712	0	2nd
0.8374	0.0016	2nd
0.9105	0.0068	PO
0.8016	0.0011	2nd
0.2388	0	3rd
0.4511	0.1148	2nd
0.8648	0.0014	2nd
0.9058	0	PO
0.9193	0	PO
0.3167	0	3rd
0.2453	0	3rd
0.3299	0.0015	3rd
0.8636	0	2nd
0.8925	0.0032	2nd
0.9057	0	PO
0.8818	0.0028	2nd
0.8798	0	2nd
0.2863	0	3rd
0.4454	0	2nd
0.6881	0.0015	2nd
0.3263	0.1629	FS
0.1829	0	3rd
0.452	0	2nd
0.8858	0.0011	2nd
0.4777	0.2759	FS
0.4859	0.0015	2nd
0.8925	0	2nd
0.8934	0	2nd
0.4222	0.2151	FS
0.4209	0.203	FS
0.1845	0	3rd
0.856	0	2nd
0.4131	0.1768	FS
0.8759	0.0019	2nd
0.2597	0	3rd
0.2052	0	3rd
0.4848	0.2151	FS
0.3756	0.1627	FS
0.4496	0.1943	FS
0.4356	0.1615	FS
0.4743	0	2nd
0.4431	0.2724	FS
0.1966	0	3rd
0.2217	0	3rd
0.318	0.289	FS
0.3803	0.3875	FS
