PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	tag	run_clean
-0.0108	-0.0264	-3e-4	0.0215	-4e-4	-0.0114	2e-4	0.0035	0.0077	0.0173	EUR	0_rand_intrain
-0.0107	-0.0265	-1e-4	0.0208	0.0025	-0.0119	1e-4	8e-4	0.0107	0.0177	EUR	0_rand_intrain
-0.0108	-0.0269	-9e-4	0.0206	0.0013	-0.0151	-0.0019	0.005	0.0172	0.0162	EUR	0_rand_intrain
-0.0106	-0.0267	-5e-4	0.021	-7e-4	-0.0053	-0.0011	4e-4	0.0148	0.017	EUR	0_rand_intrain
-0.0107	-0.0263	-7e-4	0.0216	-2e-4	-0.0135	-2e-4	0.0018	0.0127	0.0193	EUR	0_rand_intrain
-0.011	-0.0263	-1e-4	0.0199	0.0035	-0.0163	-1e-4	0.0016	0.0111	0.023	EUR	0_rand_intrain
-0.0108	-0.0264	-2e-4	0.0212	2e-4	-0.0105	-9e-4	0.0011	0.0168	0.0121	EUR	0_rand_intrain
-0.0106	-0.0261	-0.001	0.0207	0.0011	-0.0122	-0.0014	0.0014	0.0127	0.0104	EUR	0_rand_intrain
-0.011	-0.0266	-2e-4	0.0203	-0.0033	-0.012	8e-4	0.0054	0.0126	0.0087	EUR	0_rand_intrain
-0.011	-0.0262	-0.0012	0.0213	8e-4	-0.0162	-0.0026	3e-4	0.0118	0.0187	EUR	0_rand_intrain
-0.0105	-0.0265	-8e-4	0.0213	-5e-4	-0.0146	0	0.0018	0.0119	0.0144	EUR	0_rand_intrain
-0.0108	-0.0266	1e-4	0.0227	-4e-4	-0.0092	-0.0029	0.0025	0.0132	0.0188	EUR	0_rand_intrain
-0.011	-0.026	-2e-4	0.0209	0.0024	-0.016	3e-4	0.0031	0.0118	0.0166	EUR	0_rand_intrain
-0.0108	-0.0262	-6e-4	0.0189	0.0015	-0.0176	-0.0012	7e-4	0.0077	0.0138	EUR	0_rand_intrain
-0.011	-0.0264	1e-4	0.0202	-8e-4	-0.0139	-6e-4	1e-4	0.0094	0.0172	EUR	0_rand_intrain
-0.0107	-0.0265	-6e-4	0.021	-3e-4	-0.0091	-0.0013	0.003	0.0108	0.0133	EUR	0_rand_intrain
-0.0106	-0.0262	-5e-4	0.0216	0.0024	-0.0114	-0.0011	0.0019	0.0056	0.0181	EUR	0_rand_intrain
-0.0106	-0.0265	-1e-4	0.0208	2e-4	-0.0119	4e-4	3e-4	0.0126	0.0153	EUR	0_rand_intrain
-0.0109	-0.0267	-2e-4	0.0217	3e-4	-0.0127	1e-4	0.0027	0.018	0.0154	EUR	0_rand_intrain
-0.011	-0.0265	-7e-4	0.0207	0.0011	-0.0147	2e-4	0.0011	0.0058	0.0166	EUR	0_rand_intrain
-0.0109	-0.0263	-0.0013	0.0203	-6e-4	-0.0105	-0.0029	8e-4	0.0155	0.0158	EUR	0_rand_intrain
-0.0107	-0.0265	-8e-4	0.0215	-3e-4	-0.0138	-8e-4	9e-4	0.0137	0.0125	EUR	0_rand_intrain
-0.0109	-0.0268	-3e-4	0.0221	0.0019	-0.0149	-3e-4	0.0021	0.0203	0.0199	EUR	0_rand_intrain
-0.011	-0.0267	-2e-4	0.0205	0.0029	-0.0172	-0.0012	5e-4	0.0078	0.015	EUR	0_rand_intrain
-0.0108	-0.0266	-0.0012	0.0216	0.0011	-0.0115	0.001	-0.0011	0.0168	0.0118	EUR	0_rand_intrain
-0.0107	-0.0266	-2e-4	0.0198	0.0017	-0.0139	-8e-4	-0.001	0.0187	0.0095	EUR	0_rand_intrain
-0.0107	-0.0264	-9e-4	0.0208	0.0024	-0.0172	8e-4	7e-4	0.0063	0.0127	EUR	0_rand_intrain
-0.0107	-0.0273	-5e-4	0.0213	0.0023	-0.0088	-0.0013	0.0038	0.0062	0.0158	EUR	0_rand_intrain
-0.0109	-0.0269	-4e-4	0.0207	-0.0014	-0.0079	0.0019	0.0028	0.0128	0.0172	EUR	0_rand_intrain
-0.0105	-0.0272	4e-4	0.0213	-0.0012	-0.0082	-0.0018	0	0.0158	0.0212	EUR	0_rand_intrain
