state,afr_ancs,eur_ancs,ami_ancs,region_ori
Nuevo León,0.050318,0.299912,0.645136,north
Nuevo León,0.070888,0.311846,0.601169,north
Nuevo León,0.050349,0.333437,0.609389,north
Tamaulipas,0.019769,0.3282,0.637509,north
Coahuila,0.049739,0.25915,0.682998,north
San Luis Potosí,0.074439,0.381041,0.536043,north
Nuevo León,0.052831,0.251819,0.69533,north
Zacatecas,0.05583,0.296261,0.643829,north
Nuevo León,0.042838,0.297586,0.651748,north
Nuevo León,0.07383,0.415237,0.510913,north
Zacatecas,0.061143,0.367539,0.564159,north
Michoacán,0.036834,0.30292,0.653973,center
Nuevo León,0.042182,0.596805,0.35456,north
Nuevo León,0.029536,0.822898,0.147546,north
Zacatecas,0.035245,0.328062,0.627621,north
San Luis Potosí,0.066204,0.382557,0.528358,north
Nuevo León,0.038725,0.590704,0.367641,north
San Luis Potosí,0.048457,0.418839,0.530034,north
Nuevo León,0.049314,0.331275,0.617758,north
Zacatecas,0.067687,0.259578,0.66693,north
Tamaulipas,0.0745,0.429077,0.484739,north
Nuevo León,0.043063,0.274042,0.673789,north
Nuevo León,0.073488,0.362314,0.564178,north
Coahuila,0.054277,0.346564,0.59342,north
Nuevo León,0.076082,0.295536,0.623805,north
San Luis Potosí,0.045286,0.347085,0.597617,north
Jalisco,0.072542,0.456726,0.470508,center
Nuevo León,0.08555,0.288312,0.621161,north
Tamaulipas,0.08345,0.374126,0.542404,north
Nuevo León,0.037132,0.366009,0.582784,north
Nuevo León,0.057059,0.332778,0.608391,north
Tamaulipas,0.043724,0.448232,0.502617,north
Distrito Federal,0.048154,0.364637,0.571302,center
Morelos,0.060446,0.399012,0.53331,center
Nuevo León,0.044218,0.341233,0.602836,north
Nuevo León,0.05677,0.312099,0.617058,north
Coahuila,0.081432,0.305742,0.603495,north
Nuevo León,0.079451,0.321407,0.585661,north
Nuevo León,0.058846,0.31043,0.617997,north
Nuevo León,0.077694,0.514464,0.405438,north
Nuevo León,0.032361,0.232982,0.730202,north
Nuevo León,0.050685,0.347931,0.595566,north
Coahuila,0.051275,0.244355,0.693592,north
Nuevo León,0.061997,0.388246,0.544414,north
Nuevo León,0.071754,0.33174,0.592308,north
Nuevo León,0.055478,0.355861,0.586294,north
Tamaulipas,0.051814,0.702559,0.237363,north
San Luis Potosí,0.05491,0.458157,0.486912,north
Zacatecas,0.065315,0.457891,0.471733,north
Nuevo León,0.082044,0.245775,0.66516,north
Distrito Federal,0.031031,0.410057,0.55889200000000006,center
Nuevo León,0.065223,0.328011,0.606747,north
Distrito Federal,0.057085,0.419089,0.507368,center
Nuevo León,0.036562,0.442872,0.516733,north
Nuevo León,0.037612,0.435437,0.522842,north
San Luis Potosí,0.045538,0.309038,0.641934,north
San Luis Potosí,0.053343,0.287007,0.659468,north
Nuevo León,0.033659,0.238762,0.719344,north
Nuevo León,0.057295,0.251082,0.683611,north
Durango,0.069349,0.518144,0.398478,north
Nuevo León,0.041287,0.401657,0.550795,north
Nuevo León,0.04164,0.222129,0.733735,north
Nuevo León,0.056684,0.384874,0.551311,north
San Luis Potosí,0.051364,0.420047,0.516544,north
Nuevo León,0.042253,0.327742,0.618915,north
Nuevo León,0.055358,0.555255,0.38882100000000003,north
Nuevo León,0.023319,0.790897,0.185763,north
Nuevo León,0.049082,0.317425,0.633473,north
Tamaulipas,0.056172,0.388506,0.551993,north
Nuevo León,0.015745,0.315118,0.662922,north
Coahuila,0.085113,0.275258,0.631055,north
Nuevo León,0.080681,0.385265,0.525292,north
Tamaulipas,0.038494,0.443594,0.510749,north
Nuevo León,0.038448,0.347914,0.609721,north
Nuevo León,0.032744,0.593029,0.374207,north
Nuevo León,0.058263,0.450926,0.479792,north
Nuevo León,0.072996,0.273003,0.642111,north
Nuevo León,0.036453,0.492841,0.470251,north
Nuevo León,0.062207,0.372034,0.56574,north
Nuevo León,0.056574,0.357627,0.580191,north
Nuevo León,0.075116,0.476839,0.447525,north
Nuevo León,0.051968,0.346232,0.597401,north
Nuevo León,0.046301,0.226713,0.716203,north
Nuevo León,0.052021,0.461995,0.48557,north
Nuevo León,0.062362,0.327773,0.609829,north
Veracruz,0.025824,0.221892,0.739774,center
Nuevo León,0.036252,0.527775,0.435953,north
Nuevo León,0.055591,0.364565,0.579824,north
Zacatecas,0.034335,0.32529,0.628782,north
San Luis Potosí,0.074618,0.285944,0.637765,north
San Luis Potosí,0.020456,0.14681,0.824369,north
San Luis Potosí,0.041534,0.327267,0.631178,north
Nuevo León,0.082121,0.313762,0.596391,north
Coahuila,0.083157,0.277845,0.62337,north
Coahuila,0.062851,0.320637,0.616493,north
Nuevo León,0.051823,0.244261,0.698559,north
Tamaulipas,0.02986,0.307137,0.654734,north
Nuevo León,0.049471,0.355923,0.586584,north
San Luis Potosí,0.05189,0.342636,0.596749,north
Chihuahua,0.074038,0.28551,0.640431,north
Nuevo León,0.050709,0.274449,0.658094,north
México,0.03066,0.392187,0.568066,center
Nuevo León,0.037772,0.344238,0.61797,north
Coahuila,0.068983,0.520245,0.401739,north
Coahuila,0.047394,0.292902,0.653289,north
Tamaulipas,0.070232,0.252217,0.668818,north
Nuevo León,0.035458,0.749619,0.214903,north
Zacatecas,0.060692,0.231455,0.70491,north
Nuevo León,0.074969,0.291702,0.630126,north
Coahuila,0.040342,0.424633,0.535005,north
Zacatecas,0.030826,0.672265,0.295787,north
Nuevo León,0.04321,0.355783,0.596776,north
Nuevo León,0.04518,0.316826,0.632636,north
Coahuila,0.078791,0.322822,0.576219,north
Tamaulipas,0.049069,0.296197,0.648196,north
Nuevo León,0.055777,0.384102,0.548323,north
Zacatecas,0.03118,0.240516,0.715242,north
Nuevo León,0.068052,0.42134,0.508819,north
Tamaulipas,0.05659,0.41521,0.52818,north
Nuevo León,0.035863,0.165237,0.795224,north
Nuevo León,0.032662,0.294118,0.670667,north
Nuevo León,0.050007,0.330825,0.609663,north
San Luis Potosí,0.031836,0.368935,0.596826,north
Nuevo León,0.057013,0.476891,0.464878,north
Nuevo León,0.08459,0.255975,0.653008,north
Nuevo León,0.043467,0.334054,0.622372,north
Nuevo León,0.065344,0.37601,0.547081,north
San Luis Potosí,1e-5,1e-5,0.99996,north
Nuevo León,0.042033,0.45407,0.503877,north
Nuevo León,0.055938,0.347262,0.583384,north
Nuevo León,0.042827,0.328928,0.612263,north
Nuevo León,0.039695,0.245677,0.703616,north
Nuevo León,0.067708,0.278662,0.65361,north
Nuevo León,0.060371,0.323771,0.611871,north
San Luis Potosí,0.023718,0.441246,0.527357,north
Nuevo León,0.025637,0.712003,0.26234,north
Puebla,0.015018,0.17106,0.807959,center
Veracruz,0.16461,0.244226,0.591144,center
San Luis Potosí,0.048784,0.296119,0.655077,north
Nuevo León,0.043527,0.565025,0.391428,north
Tamaulipas,0.032362,0.50139,0.461357,north
Nuevo León,0.042125,0.333489,0.608209,north
Zacatecas,0.035838,0.52579,0.426196,north
Nuevo León,0.065746,0.331584,0.602649,north
Nuevo León,0.037947,0.353527,0.592696,north
Veracruz,0.017629,0.116946,0.85453,center
Nuevo León,0.064113,0.228621,0.691831,north
Nuevo León,0.073284,0.380568,0.530089,north
Zacatecas,0.050656,0.353985,0.591759,north
Nuevo León,0.044426,0.226289,0.717367,north
Guerrero,0.004353,0.131438,0.859075,south
Nuevo León,0.042291,0.387839,0.560058,north
Nuevo León,0.042609,0.389384,0.561677,north
Nuevo León,0.036359,0.48838,0.466627,north
Nuevo León,0.045364,0.503998,0.44661,north
Nuevo León,0.06,0.339852,0.598513,north
Nuevo León,0.048241,0.316935,0.612236,north
Nuevo León,0.045852,0.452052,0.500009,north
Zacatecas,0.06021,0.398246,0.541524,north
Nuevo León,0.031441,0.311375,0.65714,north
Nuevo León,0.109532,0.379616,0.499819,north
México,0.011918,0.146971,0.833088,center
Nuevo León,0.076774,0.355802,0.558706,north
Nuevo León,0.084111,0.413853,0.487743,north
Nuevo León,0.032048,0.279982,0.684326,north
Nuevo León,0.052902,0.422447,0.497199,north
Nuevo León,0.081825,0.346034,0.572121,north
Nuevo León,0.034341000000000003,0.201913,0.754713,north
Nuevo León,0.063912,0.343512,0.592556,north
Guerrero,0.05247,0.572303,0.343447,south
Nuevo León,0.027712,0.502481,0.431088,north
Nuevo León,0.057641,0.356957,0.578894,north
Nuevo León,0.0252,0.420995,0.537917,north
Nuevo León,0.054879,0.32293,0.622166,north
Nuevo León,0.051468,0.376761,0.564681,north
Nuevo León,0.040153,0.358155,0.596322,north
Veracruz,0.076567,0.213512,0.706153,center
Veracruz,5.1e-5,0.001974,0.9935,center
Nuevo León,0.004826,0.01859,0.963996,north
Zacatecas,0.0549,0.388733,0.55588,north
Nuevo León,0.033519,0.188385,0.765944,north
Chiapas,0.100476,0.204119,0.688,south
Nuevo León,0.048213,0.654685,0.296786,north
Guerrero,0.013899,0.073413,0.904842,south
Tamaulipas,0.028172,0.115727,0.834749,north
Zacatecas,0.042551,0.360437,0.579268,north
Tamaulipas,0.028427,0.326977,0.62935,north
Nuevo León,0.052058,0.352252,0.585703,north
Nuevo León,0.036042,0.29974,0.664094,north
Nuevo León,0.056221,0.290269,0.646807,north
Nuevo León,1e-5,0.034075,0.965895,north
Nuevo León,0.046762,0.21764,0.718852,north
Nuevo León,0.062764,0.375893,0.561323,north
Nuevo León,0.037753,0.293611,0.668617,north
Tamaulipas,0.049521,0.262445,0.673522,north
Oaxaca,1e-5,0.083183000000000007,0.913686,south
Nuevo León,0.067409,0.345318,0.581124,north
San Luis Potosí,0.048019,0.335459,0.609381,north
Nuevo León,0.066142,0.410924,0.52168,north
Nuevo León,0.063775,0.362599,0.573597,north
Distrito Federal,0.030296,0.69921,0.268384,center
Nuevo León,0.040812,0.349335,0.604455,north
Nuevo León,0.069455,0.459019,0.471506,north
Nuevo León,0.070399,0.402525,0.519912,north
Jalisco,0.003516,0.012096,0.971935,center
Nuevo León,0.045653,0.424438,0.524998,north
Chiapas,0.048182,0.369141,0.577936,south
Nuevo León,0.064559,0.334085,0.549741,north
Tabasco,0.08005,0.230152,0.682239,south
Nuevo León,0.053525,0.325155,0.621301,north
Nuevo León,0.049404000000000003,0.258632,0.676948,north
San Luis Potosí,1e-5,1e-5,0.99996,north
Nuevo León,0.048579,0.395373,0.555443,north
Nuevo León,0.067939,0.520931,0.408862,north
Guerrero,0.011092,0.065474,0.90885,south
Tabasco,0.091819,0.132106,0.770365,south
Nuevo León,0.059169,0.354732,0.575394,north
Veracruz,0.080225,0.287178,0.627789,center
Nuevo León,0.071354,0.36348,0.565146,north
Tabasco,0.063709,0.167674,0.763244,south
Nuevo León,0.076731,0.283983,0.629885,north
Nuevo León,0.058666,0.370544,0.556952,north
Nuevo León,0.056636,0.269824,0.667783,north
Nuevo León,0.078718,0.336029,0.570607,north
Nuevo León,0.057123,0.336447,0.60641,north
Durango,0.017575,0.360023,0.610044,north
Chiapas,0.031582,0.271957,0.68217,south
Nuevo León,0.052888,0.271978,0.667765,north
Nuevo León,0.051323,0.326697,0.62196,north
Nuevo León,0.052024,0.459592,0.483778,north
Zacatecas,0.047949,0.390158,0.550315,north
Nuevo León,0.04335,0.238082,0.707119,north
Nuevo León,0.059708,0.39816,0.541529,north
Coahuila,0.071555,0.381005,0.543332,north
Coahuila,0.043848,0.397479,0.547249,north
Nuevo León,0.058274,0.369143,0.56566,north
Nuevo León,0.037185,0.321082,0.63181,north
Oaxaca,0.06386,0.07696,0.849057,south
Nuevo León,0.046805,0.409701,0.539309,north
Nuevo León,0.046012,0.362377,0.580507,north
Nuevo León,0.050044,0.256135,0.686007,north
Nuevo León,0.041868,0.320549,0.622204,north
Nuevo León,0.016628,0.166874,0.815842,north
Zacatecas,0.057485,0.372756,0.560589,north
Chiapas,0.089141,0.221194,0.683071,south
Veracruz,0.004956,0.042602,0.944108,center
Guerrero,0.068236,0.085527,0.795286,south
Nuevo León,0.052623,0.515852,0.431505,north
Michoacán,0.018129,0.194383,0.779995,center
Nuevo León,0.05126,0.401357,0.547364,north
San Luis Potosí,0.041218,0.251183,0.707578,north
Nuevo León,0.052131,0.364423,0.574436,north
Tamaulipas,0.099084,0.221276,0.660951,north
Chiapas,0.020899,0.317815,0.653091,south
