feno,phenotype (spanish),case_v,case_nv,ctrl_v,ctrl_nv,fisher_pval,fisher_qval,Logitconst_beta,Logitconst_pval,Logitconst_qval,LogitEBVpres_beta,LogitEBVpres_pval,LogitEBVpres_qval,Logitsex_beta,Logitsex_pval,Logitsex_qval,Logitage_beta,Logitage_pval,Logitage_qval,Logitsocio_beta,Logitsocio_pval,Logitsocio_qval,Controls EBVpos,Cases EBVpos,Dif Cases-Controls
MEDICAL_RECORD.ACNE_PLACES.INCLUDES_FACE,HISTORIA_MEDICA.ACNE_LUGARES.INC_CARA,19,553,56,495,0.00000777,0.00353,0.969,0.00000115,0.00000263,-1.049,0.000159,0.182,0.434,0.00144,0.00588,-0.021,0.000000144,0.000000784,0.101,0.0376,0.133,10.16%,3.32%,-0.068
MEDICAL_RECORD.ACNE_PLACES.N,HISTORIA_MEDICA.ACNE_LUGARES.N,51,455,24,588,0.00007,0.0109,-1.223,0.00000000187,0.00000000604,0.847,0.00124,0.357,-0.53,0.000144,0.000677,0.023,0.00000000489,0.0000000328,-0.133,0.00713,0.036,3.92%,10.08%,0.062
MEDICAL_RECORD.ACNE_PLACES.C,HISTORIA_MEDICA.ACNE_LUGARES.C,19,519,56,524,0.0000719,0.0109,0.555,0.00454,0.00646,-0.962,0.000491,0.282,0.361,0.00727,0.0253,-0.014,0.000245,0.000696,0.074,0.122,0.316,9.66%,3.53%,-0.061
PERC_PHYSICAL.GRAYWHITE_HAIR.above_2,PERC_FISICA.CANAS.above_2,32,267,43,778,0.00192,0.187,-8.291,0,0,0.348,0.258,1,0.529,0.00397,0.015,0.129,0,0,0.108,0.0971,0.266,5.24%,10.70%,0.055
FRACTURES.FALL_FRACTURES_5,FRACTURAS.FRACTURAS_CAIDAS_5,0,64,6,32,0.00205,0.187,0.732,0.348,0.387,-27.605,1,1,-0.262,0.552,0.731,0.001,0.93,0.955,0.072,0.695,0.86,15.79%,0.00%,-0.158
PERC_PHYSICAL.GRAYWHITE_HAIR.above_1,PERC_FISICA.CANAS.above_1,50,505,25,540,0.00319,0.242,-6.557,0,0,0.133,0.684,1,-0.034,0.852,0.925,0.133,0,0,0.006,0.933,0.974,4.42%,9.01%,0.046
REPRODUCTIVE_HEALTH.MENOPAUSE,SALUD_REPRODUCTIVA.MENOPAUSIA,35,339,17,390,0.00582,0.378,-12.726,9.53E-36,7.81E-34,0.275,0.576,1,,,,0.26,2.53E-37,3.23E-35,0.117,0.274,0.533,4.18%,9.36%,0.052
INBODY.BFM_PC__of_Right_Leg.above_215.15,INBODY.BFM_PC__of_Right_Leg.above_215·15,48,494,26,521,0.0102,0.493,-0.77,0.000114,0.000203,0.556,0.0288,0.916,-0.026,0.85,0.924,0.015,0.00014,0.000419,0.072,0.136,0.341,4.75%,8.86%,0.041
INBODY.InBody_Score.above_67,INBODY.InBody_Score.above_67,9,255,65,760,0.011,0.493,-0.129,0.567,0.606,-0.678,0.068,1,0.968,2.95E-10,0.00000000228,-0.028,0.00000000441,0.0000000298,-0.053,0.366,0.627,7.88%,3.41%,-0.045
MEDICAL_RECORD.PERIPHERAL__ARTERIAL_DIS,HISTORIA_MEDICA.ENF_ARTERIAL_PERIF,14,96,61,952,0.0133,0.493,-4.698,7.95E-28,3.14E-26,0.53,0.105,1,-0.638,0.00901,0.0302,0.049,4.14E-11,3.57E-10,0.01,0.895,0.959,6.02%,12.73%,0.067
