run	pop	proportion
_0	AFR	0.045304
_0	EUR	0.30796
_0	MX-AMR	0.573265
_0	EAS	0.053354
_0	SAS	0.020117
_0	AFR	0.071217
_0	EUR	0.374897
_0	MX-AMR	0.481754
_0	EAS	0.037744
_0	SAS	0.034389
_0	AFR	0.085001
_0	EUR	0.191828
_0	MX-AMR	0.660352
_0	EAS	0.035764
_0	SAS	0.027055
_0	AFR	0.06534
_0	EUR	0.383996
_0	MX-AMR	0.475067
_0	EAS	0.043503
_0	SAS	0.032094
_0	AFR	0.061598
_0	EUR	0.342785
_0	MX-AMR	0.523576
_0	EAS	0.038887
_0	SAS	0.033153
_0	AFR	0.072759
_0	EUR	0.147102
_0	MX-AMR	0.718676
_0	EAS	0.045006
_0	SAS	0.016457
_0	AFR	0.026717
_0	EUR	0.038424
_0	MX-AMR	0.859141
_0	EAS	0.05685
_0	SAS	0.018868
_0	AFR	0.076574
_0	EUR	0.29514
_0	MX-AMR	0.558772
_0	EAS	0.047037
_0	SAS	0.022478
_0	AFR	0.035039
_0	EUR	0.337843
_0	MX-AMR	0.559578
_0	EAS	0.042594
_0	SAS	0.024946
_0	AFR	0.060956
_0	EUR	0.380617
_0	MX-AMR	0.503185
_0	EAS	0.03307
_0	SAS	0.022171
_0	AFR	0.022249
_0	EUR	0.122277
_0	MX-AMR	0.778075
_0	EAS	0.048852
_0	SAS	0.028547
_0	AFR	0.008856
_0	EUR	0.001865
_0	MX-AMR	0.934724
_0	EAS	0.047757
_0	SAS	0.006798
_0	AFR	0.016891
_0	EUR	0.011349
_0	MX-AMR	0.897833
_0	EAS	0.062365
_0	SAS	0.011562
_0	AFR	0.013246
_0	EUR	0.004205
_0	MX-AMR	0.918477
_0	EAS	0.053693
_0	SAS	0.010379
_0	AFR	0.051764
_0	EUR	0.094405
_0	MX-AMR	0.777448
_0	EAS	0.050757
_0	SAS	0.025625
_0	AFR	0.052623
_0	EUR	0.316129
_0	MX-AMR	0.555571
_0	EAS	0.054455
_0	SAS	0.021222
_0	AFR	0.128901
_0	EUR	0.225107
_0	MX-AMR	0.590429
_0	EAS	0.031322
_0	SAS	0.024242
_0	AFR	0.046181
_0	EUR	0.360598
_0	MX-AMR	0.5154
_0	EAS	0.04505
_0	SAS	0.032772
_0	AFR	0.013626
_0	EUR	0.025136
_0	MX-AMR	0.88458
_0	EAS	0.060212
_0	SAS	0.016445
_0	AFR	0.060569
_0	EUR	0.41383
_0	MX-AMR	0.467532
_0	EAS	0.026345
_0	SAS	0.031724
_0	AFR	0.056207
_0	EUR	0.314284
_0	MX-AMR	0.559492
_0	EAS	0.036352
_0	SAS	0.033664
_0	AFR	0.060242
_0	EUR	0.281554
_0	MX-AMR	0.592516
_0	EAS	0.046269
_0	SAS	0.019419
_0	AFR	0.033439
_0	EUR	0.075571
_0	MX-AMR	0.82225
_0	EAS	0.04683
_0	SAS	0.021909
_0	AFR	0.015278
_0	EUR	0.021786
_0	MX-AMR	0.904951
_0	EAS	0.045159
_0	SAS	0.012826
_0	AFR	0.082465
_0	EUR	0.386483
_0	MX-AMR	0.454102
_0	EAS	0.043579
_0	SAS	0.033371
_0	AFR	0.071462
_0	EUR	0.397794
_0	MX-AMR	0.470856
_0	EAS	0.033562
_0	SAS	0.026326
_0	AFR	0.051959
_0	EUR	0.032849
_0	MX-AMR	0.841285
_0	EAS	0.04834
_0	SAS	0.025567
_0	AFR	0.076512
_0	EUR	0.28212
_0	MX-AMR	0.574684
_0	EAS	0.039983
_0	SAS	0.026701
_0	AFR	0.060592
_0	EUR	0.363408
_0	MX-AMR	0.512981
_0	EAS	0.036887
_0	SAS	0.026131
_0	AFR	0.065063
_0	EUR	0.337901
_0	MX-AMR	0.523292
_0	EAS	0.039115
_0	SAS	0.03463
_0	AFR	0.013555
_0	EUR	0.01435
_0	MX-AMR	0.902096
_0	EAS	0.057383
_0	SAS	0.012616
_0	AFR	0.058998
_0	EUR	0.31314
_0	MX-AMR	0.569677
_0	EAS	0.038587
_0	SAS	0.019598
_0	AFR	0.056546
_0	EUR	0.285303
_0	MX-AMR	0.574304
_0	EAS	0.048519
_0	SAS	0.035327
_0	AFR	0.021338
_0	EUR	0.020149
_0	MX-AMR	0.887386
_0	EAS	0.06046
_0	SAS	0.010667
_0	AFR	0.079385
_0	EUR	0.292733
_0	MX-AMR	0.549222
_0	EAS	0.052526
_0	SAS	0.026135
_0	AFR	0.06835
_0	EUR	0.425199
_0	MX-AMR	0.442343
_0	EAS	0.038584
_0	SAS	0.025524
_0	AFR	0.072821
_0	EUR	0.342578
_0	MX-AMR	0.511997
_0	EAS	0.045786
_0	SAS	0.026817
_0	AFR	0.063422
_0	EUR	0.289186
_0	MX-AMR	0.581792
_0	EAS	0.041997
_0	SAS	0.023603
_0	AFR	0.085502
_0	EUR	0.265793
_0	MX-AMR	0.572643
_0	EAS	0.041986
_0	SAS	0.034076
_0	AFR	0.061249
_0	EUR	0.31372
_0	MX-AMR	0.557892
_0	EAS	0.037027
_0	SAS	0.030112
_0	AFR	0.071513
_0	EUR	0.362477
_0	MX-AMR	0.49391
_0	EAS	0.037683
_0	SAS	0.034417
_0	AFR	0.066073
_0	EUR	0.143302
_0	MX-AMR	0.724701
_0	EAS	0.047318
_0	SAS	0.018605
_0	AFR	0.104493
_0	EUR	0.249532
_0	MX-AMR	0.57708
_0	EAS	0.039282
_0	SAS	0.029613
_0	AFR	0.071969
_0	EUR	0.507465
_0	MX-AMR	0.368573
_0	EAS	0.026628
_0	SAS	0.025366
_0	AFR	0.030228
_0	EUR	0.137699
_0	MX-AMR	0.754842
_0	EAS	0.051224
_0	SAS	0.026007
_0	AFR	0.057978
_0	EUR	0.338216
_0	MX-AMR	0.536791
_0	EAS	0.036351
_0	SAS	0.030663
_0	AFR	0.065928
_0	EUR	0.347365
_0	MX-AMR	0.522753
_0	EAS	0.033957
_0	SAS	0.029998
_0	AFR	0.069163
_0	EUR	0.351671
_0	MX-AMR	0.508722
_0	EAS	0.03339
_0	SAS	0.037055
_0	AFR	0.049851
_0	EUR	0.331556
_0	MX-AMR	0.564467
_0	EAS	0.033452
_0	SAS	0.020674
_0	AFR	0.012987
_0	EUR	0.006952
_0	MX-AMR	0.928088
_0	EAS	0.042255
_0	SAS	0.009718
_0	AFR	0.05569
_0	EUR	0.353497
_0	MX-AMR	0.526737
_0	EAS	0.031511
_0	SAS	0.032565
_0	AFR	0.059483
_0	EUR	0.472345
_0	MX-AMR	0.402286
_0	EAS	0.030553
_0	SAS	0.035333
_0	AFR	0.060151
_0	EUR	0.343894
_0	MX-AMR	0.535823
_0	EAS	0.038979
_0	SAS	0.021151
_0	AFR	0.042994
_0	EUR	0.296752
_0	MX-AMR	0.58877
_0	EAS	0.042271
_0	SAS	0.029213
_0	AFR	0.047139
_0	EUR	0.322842
_0	MX-AMR	0.56036300000000006
_0	EAS	0.039838
_0	SAS	0.029818
_0	AFR	0.062395
_0	EUR	0.244175
_0	MX-AMR	0.614179
_0	EAS	0.051652000000000003
_0	SAS	0.0276
_0	AFR	0.009337
_0	EUR	9.66e-4
_0	MX-AMR	0.92656
_0	EAS	0.055154
_0	SAS	0.007983
_0	AFR	0.06905
_0	EUR	0.522005
_0	MX-AMR	0.358307
_0	EAS	0.030482
_0	SAS	0.020156
_0	AFR	0.050605
_0	EUR	0.355473
_0	MX-AMR	0.531179
_0	EAS	0.03485
_0	SAS	0.027893
_0	AFR	0.061743
_0	EUR	0.548781
_0	MX-AMR	0.338718
_0	EAS	0.029636
_0	SAS	0.021123
_0	AFR	0.049854
_0	EUR	0.449643
_0	MX-AMR	0.437893
_0	EAS	0.033773
_0	SAS	0.028838
_0	AFR	0.102525
_0	EUR	0.42654
_0	MX-AMR	0.395039
_0	EAS	0.041074
_0	SAS	0.034823
_0	AFR	0.036384
_0	EUR	0.423898
_0	MX-AMR	0.476703
_0	EAS	0.032227
_0	SAS	0.030788
_0	AFR	0.048084
_0	EUR	0.721834
_0	MX-AMR	0.176101
_0	EAS	0.025634
_0	SAS	0.028347
_0	AFR	0.039985
_0	EUR	0.511334
_0	MX-AMR	0.401501
_0	EAS	0.027355
_0	SAS	0.019824
_0	AFR	0.055643
_0	EUR	0.284632
_0	MX-AMR	0.575237
_0	EAS	0.055397
_0	SAS	0.029091
_0	AFR	0.063488
_0	EUR	0.689439
_0	MX-AMR	0.193102
