region	group1	group2	group3	group4
ORI	0.007755	0.314372	0.031563	0.64631
ORI	1e-05	0.393436	0.058064	0.54849
ORI	1e-05	0.20581	0.074458	0.719723
ORI	1e-05	0.360867	0.048232	0.590891
ORI	0.00503	0.155432	0.062184	0.777354
ORI	0.004059	0.304212	0.064789	0.62694
ORI	0.004261	0.001059	3.2e-05	0.994648
ORI	0.014813	0.010829	0.004703	0.969655
ORI	0.008037	0.002514	0.00318	0.986269
ORI	0.010078	0.326383	0.039278	0.624261
ORI	0.008416	0.380631	0.03134	0.579613
ORI	1e-05	0.43255	0.046111	0.521328
ORI	1e-05	0.331617	0.043167	0.625206
ORI	0.00089	0.289311	0.04788	0.661919
ORI	0.008651	0.023925	0.00314	0.964284
ORI	0.005782	0.405085	0.070089	0.519044
ORI	1e-05	0.406641	0.057805	0.535544
ORI	0.010083	0.0399	0.043165	0.906852
ORI	1e-05	0.294038	0.06447	0.641483
ORI	1e-05	0.316471	0.044363	0.639156
ORI	0.009961	0.304985	0.043433	0.641622
ORI	0.011344	0.303799	0.068038	0.616819
ORI	1e-05	0.438827	0.054133	0.507031
ORI	1e-05	0.299329	0.051196	0.649465
ORI	0.000349	0.328881	0.047196	0.623574
ORI	0.000697	0.381503	0.05922	0.55858
ORI	0.007017	0.151547	0.055806	0.78563
ORI	1e-05	0.262936	0.094261	0.642794
ORI	1e-05	0.517281	0.056166	0.426543
ORI	0.006564	0.149956	0.016663	0.826817
ORI	1e-05	0.353279	0.043881	0.602829
ORI	1e-05	0.363104	0.051618	0.585267
ORI	1e-05	0.372247	0.055526	0.572217
ORI	1e-05	0.337199	0.03456	0.628232
ORI	0.004353	0.008609	0.002831	0.984207
ORI	1e-05	0.350033	0.046109	0.603848
ORI	1e-05	0.3118	0.028879	0.659311
ORI	1e-05	0.337919	0.032898	0.629172
ORI	1e-05	0.461989	0.034484	0.503517
ORI	1e-05	0.437223	0.020397	0.54237
ORI	1e-05	0.732212	0.029533	0.238245
ORI	1e-05	0.518334	0.022681	0.458975
ORI	1e-05	0.70578	0.045137	0.249072
ORI	0.001657	0.34896	0.066242	0.583141
ORI	1e-05	0.531565	0.058346	0.410079
ORI	0.005217	0.234194	0.039053	0.721536
ORI	0.006428	0.012285	0.015257	0.96603
ORI	1e-05	0.264415	0.053973	0.681601
ORI	1e-05	0.37854	0.051057	0.570393
ORI	1e-05	0.276783	0.071663	0.651544
ORI	1e-05	0.432359	0.01947	0.548161
ORI	1e-05	0.371494	0.050686	0.57781
