region	group1	group2	group3	group4	group5
ORI	0.034335	0.32529	0.011583	0.628782	1e-05
ORI	0.061186	0.391627	1e-05	0.533381	0.013795
ORI	0.076567	0.213512	1e-05	0.706153	0.003758
ORI	0.05128	0.362637	1e-05	0.575825	0.010248
ORI	0.063709	0.167674	0.005363	0.763244	1e-05
ORI	0.067744	0.313542	0.007236	0.611468	1e-05
ORI	5.1e-05	0.001974	0.004465	0.9935	1e-05
ORI	0.004826	0.01859	0.012578	0.963996	1e-05
ORI	0.003305	0.006511	0.005829	0.984333	2.1e-05
ORI	0.042113	0.33589	0.014803	0.607184	1e-05
ORI	0.034033	0.379384	0.007495	0.564174	0.014914
ORI	0.050016	0.433533	1e-05	0.507386	0.009054
ORI	0.045877	0.333923	1e-05	0.610007	0.010182
ORI	0.050318	0.299912	0.004624	0.645136	1e-05
ORI	0.003284	0.033195	0.004631	0.957469	0.00142
ORI	0.073486	0.403451	0.006203	0.503982	0.012877
ORI	0.06225	0.415191	1e-05	0.522539	1e-05
ORI	0.043439	0.046043	0.001398	0.898777	0.010343
ORI	0.067527	0.301474	1e-05	0.627647	0.003342
ORI	0.047667	0.327956	1e-05	0.624357	1e-05
ORI	0.045874	0.305278	0.00798	0.626494	0.014374
ORI	0.070888	0.311846	0.014178	0.601169	0.00192
ORI	0.058135	0.444498	0.003127	0.491673	0.002566
ORI	0.054304	0.3102	0.001245	0.634241	1e-05
ORI	0.050349	0.333437	1e-05	0.609389	0.006816
ORI	0.062326	0.379919	1e-05	0.543255	0.01449
ORI	0.056959	0.164656	0.007117	0.771258	1e-05
ORI	0.097152	0.269278	1e-05	0.629382	0.004178
ORI	0.061763	0.523925	1e-05	0.413835	0.000468
ORI	0.017918	0.157563	0.003893	0.813598	0.007028
ORI	0.046935	0.35581	1e-05	0.58735	0.009895
ORI	0.055172	0.367021	1e-05	0.57081	0.006987
ORI	0.058666	0.370544	1e-05	0.556952	0.013827
ORI	0.037975	0.348512	1e-05	0.613492	1e-05
ORI	0.002771	0.014546	0.00269	0.979983	1e-05
ORI	0.049717	0.361094	2.5e-05	0.589154	1e-05
ORI	0.031683	0.317827	1e-05	0.644353	0.006127
ORI	0.035584	0.341974	1e-05	0.613681	0.008751
ORI	0.038563	0.467433	1e-05	0.4889	0.005095
ORI	0.023718	0.441246	1e-05	0.527357	0.007669
ORI	0.035855	0.734889	1e-05	0.226054	0.003192
ORI	0.027092	0.52846	1e-05	0.444428	1e-05
ORI	0.051814	0.702559	1e-05	0.237363	0.008254
ORI	0.06899	0.349799	0.000673	0.568315	0.012222
ORI	0.062933	0.531405	1e-05	0.396023	0.009629
ORI	0.040888	0.237098	0.00147	0.707489	0.013056
ORI	0.015482	0.02012	0.002906	0.960212	0.00128
ORI	0.056636	0.269824	1e-05	0.667783	0.005747
ORI	0.0549	0.388733	0.000477	0.55588	1e-05
ORI	0.074618	0.285944	1e-05	0.637765	0.001663
ORI	0.022591	0.433687	1e-05	0.532645	0.011068
ORI	0.054606	0.382434	1e-05	0.56294	1e-05
ORI	0.065315	0.457891	0.004927	0.471733	0.000134
ORI	0.020972	0.308516	0.006337	0.662468	0.001707
ORI	0.069114	0.311263	0.000995	0.614752	0.003876
ORI	0.016917	0.175692	0.009182	0.798199	1e-05
ORI	0.039327	0.751036	1e-05	0.209398	0.000229
ORI	0.083924	0.297148	1e-05	0.610531	0.008387
ORI	0.032003	0.856916	1e-05	0.111061	1e-05
ORI	0.043519	0.344902	0.010629	0.60094	1e-05
ORI	0.086602	0.335894	0.004911	0.568881	0.003712
ORI	0.048245	0.387792	0.011878	0.551776	0.00031
ORI	0.053892	0.227814	0.018223	0.69668	0.003391
ORI	0.057765	0.300079	0.003516	0.63525	0.00339
ORI	0.032328	0.684875	1e-05	0.282777	1e-05
ORI	0.020456	0.14681	1e-05	0.824369	0.008355
ORI	0.026076	0.396763	0.008747	0.568404	1e-05
ORI	0.025021	0.365955	1e-05	0.604099	0.004915
ORI	0.017575	0.360023	0.000118	0.610044	0.01224
ORI	0.041534	0.327267	1e-05	0.631178	1e-05
ORI	0.082044	0.245775	1e-05	0.66516	0.007012
ORI	0.057085	0.419089	0.005696	0.507368	0.010761
ORI	0.061274	0.385947	0.004254	0.548515	1e-05
ORI	0.036562	0.442872	0.00028	0.516733	0.003553
ORI	0.05574	0.349968	1e-05	0.594272	1e-05
