region	group1	group2	group3	group4	group5	group6
ORI	1e-05	0.011392	0.32527	0.023019	0.011548	0.62876
ORI	0.013777	0.033442	0.391515	0.027882	1e-05	0.533373
ORI	0.0037	0.035933	0.213428	0.040804	1e-05	0.706125
ORI	0.010282	0.033219	0.362498	0.018193	1e-05	0.575798
ORI	1e-05	0.04456	0.167478	0.019355	0.005402	0.763195
ORI	1e-05	0.035979	0.313403	0.031943	0.007226	0.611439
ORI	1e-05	1e-05	0.001986	4.6e-05	0.004473	0.993475
ORI	1e-05	0.004931	0.018529	1e-05	0.012544	0.963976
ORI	0.000104	0.002971	0.006478	0.000342	0.005781	0.984324
ORI	1e-05	0.01198	0.335848	0.030225	0.014767	0.607169
ORI	0.014822	0.029147	0.379261	0.005015	0.007621	0.564134
ORI	0.008957	0.012496	0.433559	0.037614	1e-05	0.507365
ORI	0.010163	0.023975	0.333827	0.022049	1e-05	0.609976
ORI	1e-05	0.02105	0.299855	0.029385	0.004566	0.645134
ORI	0.001451	0.003296	0.033165	1e-05	0.004597	0.957481
ORI	0.012892	0.041296	0.403302	0.032349	0.006207	0.503954
ORI	1e-05	0.050675	0.414951	0.011824	1e-05	0.52253
ORI	0.010349	0.018104	0.046001	0.025419	0.001366	0.898762
ORI	0.003364	0.035783	0.301318	0.031896	1e-05	0.627629
ORI	1e-05	0.029014	0.327818	0.018806	1e-05	0.624341
ORI	0.014457	0.030689	0.305081	0.015324	0.007994	0.626456
ORI	0.001922	0.038633	0.311684	0.032448	0.014174	0.60114
ORI	0.002534	0.02734	0.444432	0.030925	0.003099	0.49167
ORI	1e-05	0.040391	0.309948	0.014163	0.001277	0.634211
ORI	0.006802	0.025585	0.333339	0.024898	1e-05	0.609367
ORI	0.014508	0.046263	0.379761	0.016217	1e-05	0.54324
ORI	1e-05	0.02752	0.164562	0.029583	0.007097	0.771229
ORI	0.004063	0.067277	0.269055	0.030198	1e-05	0.629398
ORI	0.000478	0.034594	0.523782	0.027322	1e-05	0.413814
ORI	0.007035	0.009286	0.157533	0.00869	0.003882	0.813574
ORI	0.009948	0.04015	0.355557	0.006991	1e-05	0.587344
ORI	0.007059	0.034739	0.366836	0.020585	1e-05	0.570771
ORI	0.013868	0.036455	0.370356	0.022373	1e-05	0.556938
ORI	1.6e-05	0.014075	0.348479	0.023959	1e-05	0.613462
ORI	1e-05	1e-05	0.014499	0.002796	0.002724	0.979962
ORI	1e-05	0.030489	0.360994	0.019338	2.9e-05	0.58914
ORI	0.006105	0.014054	0.317788	0.017706	1e-05	0.644337
ORI	0.008733	0.016697	0.341927	0.01898	1e-05	0.613654
ORI	0.005195	0.029808	0.4672	0.008943	1e-05	0.488843
ORI	0.007679	0.021947	0.441117	0.001912	1e-05	0.527335
ORI	0.003154	0.013951	0.734847	0.021994	1e-05	0.226043
ORI	1e-05	0.024127	0.528425	0.002996	1e-05	0.444431
ORI	0.008221	0.023366	0.702495	0.028556	1e-05	0.237353
ORI	0.012229	0.033345	0.349681	0.035803	0.000648	0.568295
ORI	0.009677	0.047358	0.531132	0.015826	1e-05	0.395998
ORI	0.013108	0.022964	0.236993	0.018027	0.00145	0.707457
ORI	0.001265	0.007285	0.020122	0.008245	0.002883	0.9602
ORI	0.005846	0.036073	0.269644	0.020694	1e-05	0.667732
ORI	1e-05	0.037678	0.388566	0.017364	0.000511	0.555871
ORI	0.001698	0.047704	0.285737	0.027132	1e-05	0.63772
ORI	0.011062	0.014043	0.433628	0.008628	1e-05	0.532629
ORI	1e-05	0.026479	0.382339	0.02825	1e-05	0.562912
ORI	0.000124	0.030485	0.457798	0.034971	0.004912	0.471711
ORI	0.001734	0.021168	0.30826	1e-05	0.006478	0.662349
ORI	0.003935	0.041196	0.311063	0.028082	0.00099	0.614735
ORI	1e-05	0.00886	0.175648	0.00814	0.009158	0.798184
ORI	0.000319	0.029813	0.750766	0.009711	1e-05	0.20938
ORI	0.008467	0.052478	0.296912	0.031636	1e-05	0.610498
ORI	1.4e-05	0.017712	0.856835	0.014369	1e-05	0.111061
ORI	1e-05	0.042365	0.344673	0.001293	0.010799	0.60086
ORI	0.003715	0.0466	0.335696	0.040213	0.004925	0.568851
ORI	3e-04	0.029263	0.387671	0.019125	0.011894	0.551747
ORI	0.003399	0.032404	0.227665	0.021638	0.018241	0.696654
ORI	0.003431	0.033346	0.299933	0.024559	0.003531	0.6352
ORI	1e-05	0.030339	0.684688	0.002177	1e-05	0.282776
ORI	0.008359	0.017236	0.146714	0.003325	6.9e-05	0.824296
ORI	1e-05	0.017916	0.396692	0.008228	0.00879	0.568365
ORI	0.004848	0.017928	0.36589	0.007241	1e-05	0.604084
ORI	0.012183	0.017072	0.359875	0.000629	0.000274	0.609966
ORI	1.2e-05	0.026065	0.327144	0.015631	1e-05	0.631138
ORI	0.007101	0.0496	0.245531	0.032651	1e-05	0.665106
ORI	0.010797	0.037138	0.418887	0.020122	0.005727	0.50733
ORI	1e-05	0.036119	0.385782	0.025306	0.004309	0.548473
ORI	0.003549	0.020823	0.442783	0.01585	0.000272	0.516725
ORI	1.3e-05	0.037011	0.349808	0.018905	1e-05	0.594253
ORI	0.004703	0.038532	0.40718	0.033882	1e-05	0.515695
ORI	0.004135	0.020502	0.214141	0.011265	1e-05	0.749948
ORI	1e-05	0.0306	0.448496	0.022925	0.000157	0.497811
ORI	0.008045	0.030372	0.312395	0.038281	0.005479	0.605427
ORI	1e-05	0.025858	0.395311	0.023212	0.000681	0.554929
ORI	1e-05	0.00821	0.162154	0.011131	0.005313	0.813183
ORI	0.009261	0.02696	0.473888	0.023215	1e-05	0.466666
ORI	0.006962	0.051707	0.277585	0.031691	0.00874	0.623315
ORI	0.001939	0.014164	0.271925	0.017524	0.012268	0.68218
ORI	1e-05	0.017562	0.296067	0.031307	1e-05	0.655043
ORI	1e-05	0.022688	0.390204	0.022229	0.002519	0.562351
ORI	1.2e-05	0.026598	0.564909	0.01705	1e-05	0.391422
ORI	0.002435	0.021665	0.399503	0.031518	0.001212	0.543668
ORI	1e-05	0.043586	0.283499	0.042876	0.006985	0.623044
ORI	0.011489	0.031673	0.448454	0.024571	1e-05	0.483804
ORI	0.004865	0.016998	0.501308	0.015476	1e-05	0.461343
ORI	0.004178	0.020278	0.317374	0.044952	0.00712	0.606098
ORI	1e-05	0.023063	0.435335	0.014664	0.0041	0.522827
ORI	0.005527	0.012268	0.328132	0.007586	0.009006	0.637482
ORI	0.003582	0.029485	0.308853	0.016181	1e-05	0.641889
ORI	1e-05	0.025038	0.286917	0.028436	0.000162	0.659438
ORI	0.01219	0.020947	0.525697	0.014985	1e-05	0.426171
ORI	0.00219	0.019739	0.286623	0.016918	0.012159	0.662371
ORI	0.01044	0.068994	0.402687	0.07504	0.000539	0.4423
ORI	0.01334	0.027467	0.260061	0.0155	0.002738	0.680894
