region	group1	group2	group3	group4	group5	group6	group7
ORI	0.322255	0.631669	0.032021	1e-05	1e-05	0.014025	1e-05
ORI	0.387019	0.538489	0.058237	0.015853	1e-05	0.000383	1e-05
ORI	0.21249	0.708172	0.075137	0.004171	1e-05	1e-05	1e-05
ORI	0.339583	0.578452	0.048869	0.010511	0.002402	1e-05	0.020171
ORI	0.163872	0.763065	0.062594	1.7e-05	0.008475	1e-05	0.001968
ORI	0.294767	0.613771	0.065615	1e-05	1e-05	0.009352	0.016475
ORI	0.002592	0.99274	3.6e-05	1e-05	0.003738	0.000874	1e-05
ORI	0.019813	0.961779	0.004816	1e-05	0.013563	1e-05	1e-05
ORI	0.007307	0.983339	0.003264	1e-05	0.005092	0.000978	1e-05
ORI	0.291161	0.60891	0.040392	1e-05	1e-05	0.015684	0.043833
ORI	0.35023	0.567093	0.031673	0.015123	0.004507	0.004695	0.026678
ORI	0.385693	0.510673	0.047549	0.010117	1e-05	1e-05	0.045949
ORI	0.327338	0.614236	0.043684	0.011897	1e-05	1e-05	0.002826
ORI	0.291058	0.64764	0.048311	1e-05	0.007037	1e-05	0.005934
ORI	0.032141	0.956301	0.003187	0.000825	0.004883	1e-05	0.002653
ORI	0.370698	0.506996	0.07075	0.013501	0.005475	0.002615	0.029965
ORI	0.384634	0.526832	0.059611	0.000961	1e-05	1e-05	0.027941
ORI	0.047389	0.897977	0.043677	0.00935	0.001371	0.000225	1e-05
ORI	0.284921	0.630445	0.065579	0.003797	1e-05	0.000835	0.014413
ORI	0.291669	0.62671	0.04602	1e-05	1e-05	1e-05	0.035571
ORI	0.275708	0.628323	0.044172	0.014549	0.003753	0.005368	0.028126
ORI	0.300553	0.603646	0.068635	0.002429	0.011856	0.004578	0.008304
ORI	0.422805	0.495375	0.054955	0.002614	0.006432	1e-05	0.01781
ORI	0.276253	0.635754	0.052639	1e-05	1e-05	0.002703	0.03263
ORI	0.307152	0.612227	0.048392	0.007799	1e-05	1e-05	0.02441
ORI	0.356289	0.546366	0.059639	0.014605	1e-05	0.002704	0.020387
ORI	0.150613	0.770766	0.056199	1e-05	0.008678	1e-05	0.013725
ORI	0.263975	0.632657	0.095237	0.005726	1e-05	1e-05	0.002385
ORI	0.501451	0.420114	0.057934	0.003416	1.3e-05	1e-05	0.017061
ORI	0.156676	0.81402	0.017092	0.006998	0.005194	1e-05	1e-05
ORI	0.350295	0.591877	0.044371	0.011558	1e-05	0.000385	0.001504
ORI	0.360039	0.575481	0.052491	0.009142	1e-05	1e-05	0.002828
ORI	0.365993	0.562107	0.055882	0.015987	1e-05	1e-05	1e-05
ORI	0.338682	0.617813	0.035783	1e-05	1e-05	1e-05	0.007692
ORI	0.015415	0.978631	0.002731	1e-05	0.003193	1e-05	1e-05
ORI	0.3577	0.592769	0.046911	1e-05	1e-05	0.00259	1e-05
ORI	0.293747	0.646969	0.030011	0.007422	1e-05	1e-05	0.021832
ORI	0.309034	0.616168	0.033673	0.009208	0.000682	1e-05	0.031226
ORI	0.439197	0.494331	0.035567	0.006964	1e-05	1e-05	0.02392
ORI	0.435682	0.533116	0.021145	0.010027	1e-05	1e-05	1e-05
ORI	0.685329	0.233339	0.03071	0.007342	1e-05	1e-05	0.043259
ORI	0.478117	0.449308	0.024252	1e-05	1e-05	1e-05	0.048294
ORI	0.67598	0.24545	0.046293	0.012904	1e-05	1e-05	0.019353
ORI	0.325399	0.571062	0.066705	0.011944	1e-05	0.003062	0.021819
ORI	0.498304	0.40148	0.059091	0.012367	0.000549	1e-05	0.028199
ORI	0.233194	0.709193	0.039361	0.012781	0.003482	1e-05	0.00198
ORI	0.017767	0.957755	0.015547	1e-05	0.005113	1e-05	0.003798
ORI	0.250334	0.670261	0.055172	0.006514	1e-05	1e-05	0.017699
ORI	0.36397	0.55846	0.052251	2e-05	0.003725	1e-05	0.021564
ORI	0.268932	0.640452	0.072856	0.002524	1e-05	1e-05	0.015216
ORI	0.406478	0.537245	0.020042	0.012707	1e-05	1e-05	0.023508
ORI	0.361682	0.566604	0.052139	1e-05	0.001631	1e-05	0.017924
ORI	0.43515	0.476088	0.061956	0.001181	0.003579	0.003611	0.018435
ORI	0.300443	0.665211	0.019047	0.002256	0.007059	0.001178	0.004805
ORI	0.294629	0.617094	0.066942	0.003848	1e-05	0.003225	0.014253
ORI	0.149544	0.79763	0.016252	1e-05	0.009022	0.00079	0.026751
ORI	0.703332	0.216577	0.033859	0.003841	1e-05	1e-05	0.042371
ORI	0.27433	0.613082	0.082129	0.009436	1e-05	1e-05	0.021003
ORI	0.818846	0.118809	0.026652	0.002456	1e-05	1e-05	0.033218
ORI	0.327156	0.60325	0.04129	1e-05	0.009218	0.003853	0.015222
ORI	0.317482	0.571685	0.084285	0.004008	1e-05	0.006648	0.015881
ORI	0.359182	0.554662	0.04565	1e-05	1e-05	0.014716	0.025771
ORI	0.226152	0.697933	0.052345	0.003171	0.015116	0.005273	1e-05
