genes	condition	gene_biotype	min_CN	max_CN	mean_CN	meadian_CN	samples	delta	lof.pLI	constraint_flags	lof.oe_ci.upper
ACOT1	DUP OR DEL	protein_coding	0	4	0.689099526066351	1	1055	4	0.20157	[]	1.531
AGAP9	DUP OR DEL	protein_coding	1	4	2.76744186046512	3	86	3	4.95e-4	[]	0.823
AMY2A	DUP OR DEL	protein_coding	1	4	2.05263157894737	1	19	3	0.01822	[]	0.848
ANTXRL	DUP OR DEL	protein_coding	1	4	2.9	3	50	3	2.1718e-16	[]	1.004
ANXA8L1	DUP OR DEL	protein_coding	1	4	2.77777777777778	3	54	3	6.4852e-4	[]	1.812
ATAD3C	DUP OR DEL	protein_coding	1	4	1.23809523809524	1	21	3	4.7998e-12	[]	1.15
CATSPER2	DUP OR DEL	protein_coding	1	4	2.8125	3	16	3	1.4708e-15	[]	1.047
CCL3L3	DUP OR DEL	protein_coding	0	7	3.37011033099298	3	997	7	0.0042979	[]	1.576
CCL4L2	DUP OR DEL	protein_coding	0	7	3.35050505050505	3	990	7	0.23099	[]	1.447
CDK11A	DUP OR DEL	protein_coding	0	3	1.04615384615385	1	65	3	2.3901e-14	[]	1.15
CELA3A	DUP OR DEL	protein_coding	1	3	1.25	1	16	2	3.1208e-11	[]	1.209
CFHR1	DUP OR DEL	protein_coding	0	3	0.976284584980237	1	253	3	6.9235e-7	[]	1.208
CFHR3	DUP OR DEL	protein_coding	0	3	0.948717948717949	1	273	3	5.4275e-7	[]	1.302
CFHR4	DUP OR DEL	protein_coding	1	3	1.59459459459459	1	37	2	1.3755000000000002e-19	[]	1.204
CSH1	DUP OR DEL	protein_coding	1	3	1.35897435897436	1	39	2	0.0091053	[]	1.213
CSH2	DUP OR DEL	protein_coding	1	3	1.125	1	16	2	0.0094751	[]	1.093
CYP2A6	DUP OR DEL	protein_coding	1	3	2.17647058823529	3	17	2	3.1144e-6	[]	0.879
CYP2E1	DUP OR DEL	protein_coding	1	4	2.97368421052632	3	38	3	1.2588e-7	[]	0.914
DDT	DUP OR DEL	protein_coding	1	3	2.41176470588235	3	17	2	0.0098964	[]	1.926
DDTL	DUP OR DEL	protein_coding	1	3	2.56521739130435	3	23	2	0.20229	[]	1.832
DEFB103A	DUP OR DEL	protein_coding	1	5	3.18181818181818	3	308	4	NA	NA	NA
DEFB103B	DUP OR DEL	protein_coding	1	5	3.14903846153846	3	208	4	NA	NA	NA
DEFB104A	DUP OR DEL	protein_coding	1	4	3.01428571428571	3	70	3	NA	"[""no_exp_lof"",""no_exp_syn"",""no_variants""]"	NA
DEFB104B	DUP OR DEL	protein_coding	1	5	3.04102564102564	3	195	4	NA	NA	NA
DEFB105A	DUP OR DEL	protein_coding	1	4	2.9047619047619	3	42	3	0.471	"[""no_variants""]"	1.566
DEFB105B	DUP OR DEL	protein_coding	1	5	3.06177606177606	3	259	4	NA	NA	NA
DEFB106A	DUP OR DEL	protein_coding	1	4	2.78125	3	32	3	NA	NA	NA
DEFB106B	DUP OR DEL	protein_coding	1	5	3.0625	3	288	4	NA	NA	NA
DEFB107A	DUP OR DEL	protein_coding	1	4	3	3	33	3	NA	NA	NA
DEFB108C	DUP OR DEL	protein_coding	1	7	2.75609756097561	3	82	6	NA	NA	NA
DEFB4A	DUP OR DEL	protein_coding	1	5	2.63068181818182	3	176	4	0.33189	[]	1.85
DEFB4B	DUP OR DEL	protein_coding	1	5	3.23617021276596	3	470	4	NA	NA	NA
FAHD2B	DUP OR DEL	protein_coding	0	3	1.0958904109589	1	73	3	1.5943e-7	[]	1.1
FAM25C	DUP OR DEL	protein_coding	1	3	2.83333333333333	3	48	2	0.097735	[]	1.574
FAM25G	DUP OR DEL	protein_coding	1	4	2.81818181818182	3	99	3	0.23498	[]	1.772
FAM72C	DUP OR DEL	protein_coding	1	7	1.85496183206107	1	131	6	0.22744	[]	1.787
FAM86B2	DUP OR DEL	protein_coding	1	5	3.05555555555556	3	90	4	0.85404	[]	0.636
FCGR2C	DUP OR DEL	protein_coding	1	4	2.99722222222222	3	360	3	NA	NA	NA
FCGR3A	DUP OR DEL	protein_coding	1	4	2.70833333333333	3	72	3	4.2413e-4	[]	1.012
FOXD4L1	DUP OR DEL	protein_coding	1	3	1.01069518716578	1	187	2	NA	NA	NA
GH2	DUP OR DEL	protein_coding	1	3	1.11111111111111	1	18	2	1.5233e-4	[]	0.993
GOLGA8H	DUP OR DEL	protein_coding	1	3	1.1	1	20	2	5.6467e-18	[]	1.731
GSTT2	DUP OR DEL	protein_coding	1	3	1.05555555555556	1	144	2	NA	NA	NA
GSTT2B	DUP OR DEL	protein_coding	1	3	1.52525252525253	1	99	2	0.081579	[]	1.364
GSTT4	DUP OR DEL	protein_coding	1	4	3.08253968253968	3	315	3	NA	NA	NA
H3-7	DUP OR DEL	protein_coding	1	7	1.83977900552486	1	181	6	NA	NA	NA
HLA-DRB1	DUP OR DEL	protein_coding	1	4	3.23809523809524	3	42	3	NA	NA	NA
HSPA6	DUP OR DEL	protein_coding	1	4	2.17460317460317	3	63	3	0.30218	[]	1.883
KIR2DL1	DUP OR DEL	protein_coding	1	5	3.27906976744186	3	43	4	5.5277e-16	"[""outlier_mis""]"	1.634
KIR2DL4	DUP OR DEL	protein_coding	1	4	2.15853658536585	3	82	3	NA	NA	NA
KIR3DL1	DUP OR DEL	protein_coding	1	4	1.37931034482759	1	29	3	NA	NA	NA
KRTAP2-3	DUP OR DEL	protein_coding	1	3	1.05405405405405	1	37	2	2.0037e-4	[]	1.849
KRTAP2-4	DUP OR DEL	protein_coding	1	3	1.0625	1	32	2	0.014686	[]	1.452
KRTAP4-16	DUP OR DEL	protein_coding	0	4	1.28571428571429	1	49	4	NA	NA	NA
KRTAP4-8	DUP OR DEL	protein_coding	0	4	1.30434782608696	1	46	4	0.36973	[]	1.448
LCE1D	DUP OR DEL	protein_coding	0	3	1.04651162790698	1	86	3	0.016485	[]	1.869
LILRA6	DUP OR DEL	protein_coding	0	5	1.46666666666667	1	60	5	NA	NA	NA
MBD3L2	DUP OR DEL	protein_coding	1	5	3.2	3	70	4	NA	NA	NA
MBD3L3	DUP OR DEL	protein_coding	1	3	2.875	3	16	2	NA	NA	NA
MBD3L4	DUP OR DEL	protein_coding	1	3	2.9	3	20	2	NA	NA	NA
MRGPRX1	DUP OR DEL	protein_coding	0	7	3.03083247687564	3	973	7	0.35548	[]	1.818
NAT8	DUP OR DEL	protein_coding	1	3	1.03448275862069	1	58	2	0.29773	[]	1.888
NPY4R	DUP OR DEL	protein_coding	1	5	3.35294117647059	3	85	4	0.29987	[]	1.625
NUTM2B	DUP OR DEL	protein_coding	1	4	2.65909090909091	3	44	3	NA	NA	NA
NUTM2E	DUP OR DEL	protein_coding	1	3	1.09090909090909	1	44	2	NA	NA	NA
OR1D5	DUP OR DEL	protein_coding	1	3	2.88235294117647	3	17	2	0.41078	[]	1.347
OR2T3	DUP OR DEL	protein_coding	1	4	3.05780346820809	3	346	3	0.32165	[]	1.863
OR4C6	DUP OR DEL	protein_coding	0	4	0.938775510204082	1	49	4	3.2972e-9	[]	1.924
OR4M2B	DUP OR DEL	protein_coding	1	4	2.56862745098039	3	102	3	NA	NA	NA
POTEB3	DUP OR DEL	protein_coding	1	4	2.68115942028985	3	69	3	0.98629	[]	0.3
PPIAL4A	DUP OR DEL	protein_coding	1	3	1.012	1	500	2	0.0053406	[]	1.744
PPIAL4F	DUP OR DEL	protein_coding	1	3	1.5	1	20	2	NA	NA	NA
PPIAL4H	DUP OR DEL	protein_coding	1	3	1.66666666666667	1	27	2	0.022479	[]	1.565
PRAMEF1	DUP OR DEL	protein_coding	1	3	1.26086956521739	1	46	2	2.2147e-4	[]	0.836
PRAMEF11	DUP OR DEL	protein_coding	1	3	1.19047619047619	1	21	2	8.6817e-4	[]	0.912
PRAMEF14	DUP OR DEL	protein_coding	1	4	1.58904109589041	1	73	3	1.3969e-6	[]	1.008
PRAMEF15	DUP OR DEL	protein_coding	1	4	2.36666666666667	3	30	3	1.0111e-6	[]	1.176
PRAMEF33	DUP OR DEL	protein_coding	1	4	2.04054054054054	3	74	3	0.052995	[]	1.53
PRAMEF5	DUP OR DEL	protein_coding	1	4	2.29032258064516	3	31	3	NA	NA	NA
PRAMEF8	DUP OR DEL	protein_coding	1	4	2.11764705882353	3	51	3	NA	NA	NA
PRSS1	DUP OR DEL	protein_coding	1	3	2.96	3	50	2	2.2086e-8	[]	1.301
PRSS2	DUP OR DEL	protein_coding	1	3	2.9746835443038	3	79	2	2.6369e-7	[]	1.591
PSG1	DUP OR DEL	protein_coding	1	4	2.21969696969697	3	132	3	5.6440999999999995e-28	"[""outlier_mis""]"	1.862
PSG2	DUP OR DEL	protein_coding	1	4	2.47619047619048	3	105	3	1.8643e-21	"[""outlier_mis"",""outlier_syn""]"	1.707
PSG6	DUP OR DEL	protein_coding	1	4	2.26470588235294	3	136	3	2.1366e-20	"[""outlier_mis""]"	1.484
PSG7	DUP OR DEL	protein_coding	1	4	2.25373134328358	3	134	3	4.1076e-23	"[""outlier_mis""]"	1.585
PSG8	DUP OR DEL	protein_coding	1	4	2.46153846153846	3	26	3	3.9779000000000004e-25	"[""outlier_mis""]"	1.707
RHD	DUP OR DEL	protein_coding	1	3	1.08888888888889	1	45	2	0.027691	[]	0.742
RNASE3	DUP OR DEL	protein_coding	1	3	1.5	1	32	2	0.11027	[]	1.939
RRP7A	DUP OR DEL	protein_coding	1	5	3.08843537414966	3	147	4	1.8232e-9	[]	1.305
SIGLEC14	DUP OR DEL	protein_coding	0	4	1.09302325581395	1	215	4	0.094701	[]	0.79
SPAG11B	DUP OR DEL	protein_coding	1	5	3.17959183673469	3	245	4	0.017717	[]	1.643
SPATA31A3	DUP OR DEL	protein_coding	1	4	1.08641975308642	1	81	3	NA	NA	NA
SPDYE16	DUP OR DEL	protein_coding	1	3	1.35294117647059	1	17	2	0.67033	[]	0.721
SPDYE18	DUP OR DEL	protein_coding	1	4	2	1	24	3	0.91893	[]	0.564
STRC	DUP OR DEL	protein_coding	1	4	2.94444444444444	3	18	3	3.8356e-6	[]	0.713
SULT1A1	DUP OR DEL	protein_coding	1	5	2.75165562913907	3	302	4	1.4601e-12	[]	1.33
SYCE1	DUP OR DEL	protein_coding	1	4	2.96875	3	32	3	2.727e-9	[]	0.9
SYT15	DUP OR DEL	protein_coding	1	5	3.03614457831325	4	83	4	0.86677	[]	0.623
TAS2R43	DUP OR DEL	protein_coding	0	3	0.810283687943262	1	564	3	0.30859	[]	1.877
TBC1D3B	DUP OR DEL	protein_coding	1	7	3.77425373134328	4	536	6	0.92758	[]	0.456
TBC1D3I	DUP OR DEL	protein_coding	1	7	3.86567164179104	4	335	6	NA	NA	NA
TRIM49	DUP OR DEL	protein_coding	1	4	3.00312989045383	3	639	3	0.27969	[]	0.969
