ord_sample	svtype	n
1	DEL	23
2	DEL	26
3	DEL	27
4	DEL	29
5	DEL	29
6	DEL	30
7	DEL	30
8	DEL	30
9	DEL	30
10	DEL	31
11	DEL	31
12	DEL	31
13	DEL	31
14	DEL	31
15	DEL	31
16	DEL	31
17	DEL	31
18	DEL	32
19	DEL	32
20	DEL	32
21	DEL	32
22	DEL	32
23	DEL	32
24	DEL	32
25	DEL	32
26	DEL	32
27	DEL	33
28	DEL	33
29	DEL	33
30	DEL	33
31	DEL	33
32	DEL	33
33	DEL	33
34	DEL	33
35	DEL	33
36	DEL	34
37	DEL	34
38	DEL	34
39	DEL	34
40	DEL	34
41	DEL	34
42	DEL	34
43	DEL	34
44	DEL	34
45	DEL	34
46	DEL	35
47	DEL	35
48	DEL	35
49	DEL	35
50	DEL	35
51	DEL	35
52	DEL	35
53	DEL	35
54	DEL	35
55	DEL	35
56	DEL	35
57	DEL	35
58	DEL	35
59	DEL	35
60	DEL	35
61	DEL	35
62	DEL	35
63	DEL	36
64	DEL	36
65	DEL	36
66	DEL	36
67	DEL	36
68	DEL	36
69	DEL	36
70	DEL	36
71	DEL	36
72	DEL	36
73	DEL	36
74	DEL	36
75	DEL	36
76	DEL	36
77	DEL	36
78	DEL	36
79	DEL	36
80	DEL	36
81	DEL	36
82	DEL	36
83	DEL	36
84	DEL	36
85	DEL	36
86	DEL	36
87	DEL	37
88	DEL	37
89	DEL	37
90	DEL	37
91	DEL	37
92	DEL	37
93	DEL	37
94	DEL	37
95	DEL	37
96	DEL	37
97	DEL	37
98	DEL	37
99	DEL	37
100	DEL	37
101	DEL	37
102	DEL	37
103	DEL	37
104	DEL	37
105	DEL	37
106	DEL	37
107	DEL	37
108	DEL	37
109	DEL	37
110	DEL	37
111	DEL	37
112	DEL	37
113	DEL	37
114	DEL	37
115	DEL	37
116	DEL	37
117	DEL	37
118	DEL	37
119	DEL	37
120	DEL	38
121	DEL	38
122	DEL	38
123	DEL	38
124	DEL	38
125	DEL	38
126	DEL	38
127	DEL	38
128	DEL	38
129	DEL	38
130	DEL	38
131	DEL	38
132	DEL	38
133	DEL	38
134	DEL	38
135	DEL	38
136	DEL	38
137	DEL	38
138	DEL	38
139	DEL	38
140	DEL	38
141	DEL	38
142	DEL	38
143	DEL	38
144	DEL	38
145	DEL	38
146	DEL	38
147	DEL	38
148	DEL	38
149	DEL	38
150	DEL	38
151	DEL	38
152	DEL	38
153	DEL	38
154	DEL	38
155	DEL	38
156	DEL	38
157	DEL	38
158	DEL	38
159	DEL	38
160	DEL	39
161	DEL	39
162	DEL	39
163	DEL	39
164	DEL	39
165	DEL	39
166	DEL	39
167	DEL	39
168	DEL	39
169	DEL	39
170	DEL	39
171	DEL	39
172	DEL	39
173	DEL	39
174	DEL	39
175	DEL	39
176	DEL	39
